name,icon,cover,restype,tags,devices,path,paid_type
心情日记,https://raw.githubusercontent.com/Dreamqiucn/feelingdiary-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/feelingdiary-Astrobox/refs/heads/main/preview1.png,quickapp,实用工具;日记;软件;免费,n67,Dreamqiu/feelingdiary.json,
高中古诗词,https://raw.githubusercontent.com/Dreamqiucn/poem-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/poem-Astrobox/refs/heads/main/preview1.png,quickapp,实用工具;软件;高中;学习工具;古诗;免费,n67,Dreamqiu/poem.json,
A.Chat,https://raw.githubusercontent.com/Azumachiaki/A.Chat/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/A.Chat/refs/heads/main/cover.png,quickapp,实用工具;聊天软件;在线,n67;n62;o62;o62m;o63;o65;o65m,AzumaChiaki/achat.json,paid
点阵Dot,https://raw.githubusercontent.com/zaona/dot-astrobox-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/zaona/dot-astrobox-release/refs/heads/main/preview.png,watchface,表盘;简约,o66;o66nfc,zaona/dot.json,
番茄钟,https://raw.githubusercontent.com/zyhsck/my_astrobox_tomatoclock/refs/heads/main/logo.png,https://raw.githubusercontent.com/zyhsck/my_astrobox_tomatoclock/refs/heads/main/cover.jpeg,quickapp,工具,o65;o65m,mizuki/tomatoclock.json,
多功能组件,https://raw.githubusercontent.com/RX79XT/Multi-functional-component_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/RX79XT/Multi-functional-component_AstroBox/refs/heads/main/preview1.png,watchface,可编辑;付费;简约,o62;o62m;n66;n62s,RX79XT/Multi-functional-component.json,paid
舒尔特方格,https://raw.githubusercontent.com/yzl3014/AstroBox_Schulte/refs/heads/main/logo.png,https://raw.githubusercontent.com/yzl3014/AstroBox_Schulte/refs/heads/main/cover.png,quickapp,游戏;舒尔特方格;专注力;Schulte Grid,n67,yzl3014/schulte_grid.json,
ATRI,https://raw.githubusercontent.com/liuyuze61/ATRI_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/ATRI_AstroBox/refs/heads/main/preview.png,quickapp,galgame,o66;n66;o66nfc;n67,liuyuze61/ATRI.json,
抽卡人生,https://raw.githubusercontent.com/easejun/cardSimulater_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/easejun/cardSimulater_AstroBox_Release/refs/heads/main/preview.png,quickapp,游戏;模拟,n66;n67;o65;o65m,easejun/cardSimulater.json,force_paid
奇阵防,https://raw.githubusercontent.com/easejun/arcaneArray_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/easejun/arcaneArray_AstroBox_Release/refs/heads/main/preview.png,quickapp,游戏;塔防游戏,n67;o65;o65m,easejun/arcaneArray.json,force_paid
钓鱼,https://raw.githubusercontent.com/easejun/fish_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/easejun/fish_AstroBox_Release/refs/heads/main/preview.png,quickapp,游戏;模拟,n67;o65;o65m,easejun/fish.json,force_paid
斗地主,https://raw.githubusercontent.com/SarmonFish/vela-doudizhu-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/SarmonFish/vela-doudizhu-release/refs/heads/main/cover.png,quickapp,游戏;回合制;休闲,n67;n66;o66;o66nfc;o65;o65m;o62;o62m;n62,SarmonFish/vela-doudizhu.json,
章鱼克喵喵,https://raw.githubusercontent.com/MapleMapleMa/Klein_Moretti/refs/heads/main/icon.png,https://raw.githubusercontent.com/MapleMapleMa/Klein_Moretti/refs/heads/main/头图.jpg,watchface,表盘;诡秘之主,"n66,o66,o66nfc",MapleMapleMa/KleinMoretti.json,
内卷盒子,https://raw.githubusercontent.com/Tellmeway0/LearnBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Tellmeway0/LearnBox/refs/heads/main/cover.png,quickapp,学习;高效;付费,n67,Tellmeway/Learnbox.json,force_paid
时研Focus,https://raw.githubusercontent.com/Solan-486/Time-Y-Resource-Astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/Solan-486/Time-Y-Resource-Astrobox/refs/heads/main/cover.png,quickapp,快应用;工具;专注时钟;摆件;番茄钟,n67,Solan/Time-Y.json,force_paid
滚珠赛道,https://raw.githubusercontent.com/sf-yuzifu/ballsRace/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/ballsRace/refs/heads/main/preview.png,quickapp,游戏;快应用;滚珠赛道;赛车,n66;n67;o66;o66nfc,sf_yuzifu/ballsRace.json,
